City,data,FIPS,Lat,Long,State,Zip
Flandreau,7,46101,44.0494154,-96.595324,SD,57028
,,,,,,
Florence,14,46029,45.0546849,-97.3298021,SD,57235
,,,,,,
Fort Pierre,7,46117,44.3535933,-100.3737447,SD,57532
,,,,,,
Frankfort,1,46115,44.8766409,-98.3053704,SD,57440
,,,,,,
Frederick,11,46013,45.8324741,-98.5062094,SD,57441
,,,,,,
Freeman,15,46067,43.3524871,-97.4372863,SD,57029
,,,,,,
Golden Valley,1,27053,44.94965,-93.3395,MN,55416
,,,,,,
Garden City,2,46025,44.9582962,-97.581472,SD,57236
,,,,,,
Garretson,23,46099,43.7174725,-96.5028209,SD,57030
,,,,,,
Gary,3,46039,44.7924636,-96.4558855,SD,57237
,,,,,,
Gayville,7,46081,44.3708176,-103.7601982,SD,57031
,,,,,,
Gettysburg,8,46107,45.0116474,-99.9556728,SD,57442
,,,,,,
Glad Valley,2,46137,45.3991461,-101.7776401,SD,57644
,,,,,,
Glenham,4,46129,45.5327704,-100.2715173,SD,57631
,,,,,,
Goodwin,16,46039,44.8791316,-96.8486758,SD,57238
,,,,,,
Greenville,1,19041,43.01664,-95.1461046,IA,51343
,,,,,,
Gregory,9,46053,43.2322227,-99.4303833,SD,57533
,,,,,,
Grenville,2,46037,45.4669018,-97.3937004,SD,57239
,,,,,,
Groton,11,46013,45.4474588,-98.0987093,SD,57445
,,,,,,
Harrisburg,42,46083,43.4313663,-96.69727,SD,57032
,,,,,,
Harrold,2,46065,44.5244277,-99.7392837,SD,57536
,,,,,,
Hartford,15,46099,43.6230323,-96.942555,SD,57033
,,,,,,
Hawarden,1,19167,42.9958216,-96.4853085,IA,51023
,,,,,,
Hayti,11,46057,44.6571873,-97.2050728,SD,57241
,,,,,,
Hazel,1,46057,44.7596872,-97.379524,SD,57242
,,,,,,
Henry,12,46029,44.8771863,-97.4664703,SD,57243
,,,,,,
Hermosa,3,46033,43.8397124,-103.1910205,SD,57744
,,,,,,
Herreid,5,46021,45.8347136,-100.0692843,SD,57632
,,,,,,
Herrick,2,46053,43.1149991,-99.1878754,SD,57538
,,,,,,
Hetland,3,46077,44.3780244,-97.2350688,SD,57212
,,,,,,
Highmore,5,46069,44.5213731,-99.4415007,SD,57345
,,,,,,
Hill City,11,46103,43.9324855,-103.575193,SD,57745
,,,,,,
Hitchcock,6,46005,44.629702,-98.4095385,SD,57348
,,,,,,
Hornick,1,19193,42.2305463,-96.097517,IA,51026
,,,,,,
Hosmer,5,46045,45.5788675,-99.4748399,SD,57448
,,,,,,
Hot Springs,20,46047,43.431646,-103.4743625,SD,57747
,,,,,,
Houghton,1,46013,45.7630199,-98.2103798,SD,57449
,,,,,,
Hoven,4,46107,45.2435942,-99.7770614,SD,57450
,,,,,,
Howard,3,46097,44.0108074,-97.5267361,SD,57349
,,,,,,
Hudson,2,46083,43.1302628,-96.4541994,SD,57034
,,,,,,
Humboldt,4,46099,43.6452557,-97.0739467,SD,57035
,,,,,,
Hurley,5,46125,43.2830402,-97.0892202,SD,57036
,,,,,,
Huron,97,46005,44.3633173,-98.2142572,SD,57399
,,,,,,
Interior,1,46071,43.7269378,-101.9840423,SD,57750
,,,,,,
